"Po¯.";"ID";"JmÈno";"T˝m";"G";"PAB";"AB";"H";"BA";"2B";"3B";"HR";"TB";"SA";"R";"RBI";"BB";"HP";"SO";"SOA";"SH";"SF";"SB";"CS";"SBA";"OBP";
"218";"6428";"Pruöa Michal";"Nuclears";"10";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"219";"5640";"Satoria Ond¯ej";"Arrows";"10";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"220";"9341";"Sobotka Jan";"Tempo";"2";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"1";"0";"1,000";"0,000";
"221";"5209";"Sobotka Michal";"Draci";"7";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"222";"15040";"Swagerty Stephen";"Hroöi";"10";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"223";"5623";"ämidt Viktor";"Eagles";"3";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"224";"6873";"Tatar Martin";"Hroöi";"1";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"225";"5213";"Vaöourek Jan";"Draci";"5";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"226";"7045";"VeËerka Viktor";"Draci";"1";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"227";"4676";"Vesel˝ Luk·ö";"Skokani";"4";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"228";"15006";"Viera Alejandro";"Nuclears";"5";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"229";"4836";"V˝bora Jan";"Eagles";"1";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"230";"4846";"Vykoukal Marko";"Arrows";"6";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"231";"6881";"Wechsler Adam";"Hroöi";"3";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"232";"5031";"éondra Tom·ö";"Hroöi";"3";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"--";"CELKEM";"";"2733";"8428";"7290";"1892";"0,260";"317";"63";"101";"2638";"0,362";"1253";"1028";"782";"183";"1600";"0,219";"87";"86";"347";"89";"0,796";"0,343";
